id_planeta;planeta jest planet¹ docelow¹;planeta nale¿y do gracza;id_planeta_docelowa;grupa_zdobywaj¹ca_planetê;odleg³oœæ;planety_iloœæ_mapa;planety_posiadane_procent;przejmowanie_poziom_aktualny;przyrost_szybkoœæ;rakiety_iloœæ_procent_wys³anie;rakiety_na_orbicie_iloœæ__obce;rakiety_na_orbicie_iloœæ__w³asne;wielkoœæ;
1;0;0;10;0;100,0000;10,0000;10,0000;100,0000;100,0000;100;3;7;100,0000;
2;0;1;10;0;0,0000;10,0000;10,0000;100,0000;100,0000;100;0;7;100,0000;
3;0;0;10;0;79,5622;10,0000;10,0000;0,0000;100,0000;100;0;7;50,0000;
4;0;0;10;0;69,2873;10,0000;10,0000;1,3333;100,0000;100;4;7;25,0000;
5;0;0;10;0;59,1359;10,0000;10,0000;0,0000;100,0000;100;0;7;50,0000;
6;0;0;10;0;50,0000;10,0000;10,0000;0,0000;100,0000;100;0;7;25,0000;
7;0;0;10;0;20,4544;10,0000;10,0000;0,0000;100,0000;100;0;7;50,0000;
8;0;0;10;0;51,1629;10,0000;10,0000;0,0000;100,0000;100;0;7;25,0000;
9;0;0;10;0;40,9088;10,0000;10,0000;0,0000;100,0000;100;0;7;50,0000;
10;1;0;10;0;31,7272;10,0000;10,0000;0,0000;100,0000;100;0;7;25,0000;
--- 2 ---
1;0;0;10;0;100,0000;10,0000;10,0000;100,0000;100,0000;100;1;4;100,0000;
2;0;1;10;0;0,0000;10,0000;10,0000;100,0000;100,0000;100;0;4;100,0000;
3;0;0;10;0;79,5622;10,0000;10,0000;0,0000;100,0000;100;0;4;50,0000;
4;0;0;10;2;69,2873;10,0000;10,0000;-20,0000;100,0000;100;6;4;25,0000;
5;0;0;10;0;59,1359;10,0000;10,0000;0,0000;100,0000;100;0;4;50,0000;
6;0;0;10;0;50,0000;10,0000;10,0000;0,0000;100,0000;100;0;4;25,0000;
7;0;0;10;0;20,4544;10,0000;10,0000;0,0000;100,0000;100;0;4;50,0000;
8;0;0;10;0;51,1629;10,0000;10,0000;0,0000;100,0000;100;0;4;25,0000;
9;0;0;10;0;40,9088;10,0000;10,0000;0,0000;100,0000;100;0;4;50,0000;
10;1;0;10;1;31,7272;10,0000;10,0000;-14,6667;100,0000;100;0;4;25,0000;
--- 3 ---
1;0;0;10;0;100,0000;10,0000;10,0000;100,0000;100,0000;100;6;5;100,0000;
2;0;1;10;0;0,0000;10,0000;10,0000;100,0000;100,0000;100;0;5;100,0000;
3;0;0;10;0;79,5622;10,0000;10,0000;0,0000;100,0000;100;0;5;50,0000;
4;0;0;10;2;69,2873;10,0000;10,0000;-81,3333;100,0000;100;10;5;25,0000;
5;0;0;10;0;59,1359;10,0000;10,0000;0,0000;100,0000;100;0;5;50,0000;
6;0;0;10;0;50,0000;10,0000;10,0000;0,0000;100,0000;100;0;5;25,0000;
7;0;0;10;0;20,4544;10,0000;10,0000;0,0000;100,0000;100;0;5;50,0000;
8;0;0;10;0;51,1629;10,0000;10,0000;0,0000;100,0000;100;0;5;25,0000;
9;0;0;10;0;40,9088;10,0000;10,0000;0,0000;100,0000;100;0;5;50,0000;
10;1;0;10;1;31,7272;10,0000;10,0000;-77,3333;100,0000;100;0;5;25,0000;
--- 4 ---
1;0;0;6;0;84,5501;10,0000;20,0000;100,0000;100,0000;100;0;18;100,0000;
2;0;1;6;0;15,8636;10,0000;20,0000;100,0000;100,0000;100;0;18;100,0000;
3;0;0;6;0;64,0958;10,0000;20,0000;0,0000;100,0000;100;0;18;50,0000;
4;0;0;6;0;54,3697;10,0000;20,0000;100,0000;100,0000;100;2;18;25,0000;
5;0;0;6;0;43,6417;10,0000;20,0000;0,0000;100,0000;100;0;18;50,0000;
6;1;0;6;0;34,1735;10,0000;20,0000;0,0000;100,0000;100;0;18;25,0000;
7;0;0;6;0;6,3738;10,0000;20,0000;0,0000;100,0000;100;0;18;50,0000;
8;0;0;6;0;36,7448;10,0000;20,0000;0,0000;100,0000;100;5;18;25,0000;
9;0;0;6;0;25,8140;10,0000;20,0000;0,0000;100,0000;100;0;18;50,0000;
10;0;1;6;0;15,8636;10,0000;20,0000;100,0000;100,0000;100;0;18;25,0000;
--- 5 ---
1;0;0;6;0;84,5501;10,0000;20,0000;100,0000;100,0000;100;0;6;100,0000;
2;0;1;6;0;15,8636;10,0000;20,0000;100,0000;100,0000;100;0;6;100,0000;
3;0;0;6;0;64,0958;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
4;0;0;6;0;54,3697;10,0000;20,0000;100,0000;100,0000;100;0;6;25,0000;
5;0;0;6;0;43,6417;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
6;1;0;6;1;34,1735;10,0000;20,0000;-6,6667;100,0000;100;0;6;25,0000;
7;0;0;6;0;6,3738;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
8;0;0;6;2;36,7448;10,0000;20,0000;-24,0000;100,0000;100;14;6;25,0000;
9;0;0;6;0;25,8140;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
10;0;1;6;0;15,8636;10,0000;20,0000;100,0000;100,0000;100;0;6;25,0000;
--- 6 ---
1;0;0;6;0;84,5501;10,0000;20,0000;100,0000;100,0000;100;3;6;100,0000;
2;0;1;6;0;15,8636;10,0000;20,0000;100,0000;100,0000;100;0;6;100,0000;
3;0;0;6;0;64,0958;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
4;0;0;6;0;54,3697;10,0000;20,0000;100,0000;100,0000;100;3;6;25,0000;
5;0;0;6;0;43,6417;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
6;1;0;6;1;34,1735;10,0000;20,0000;-84,0000;100,0000;100;0;6;25,0000;
7;0;0;6;0;6,3738;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
8;0;0;6;2;36,7448;10,0000;20,0000;-94,6667;100,0000;100;22;6;25,0000;
9;0;0;6;0;25,8140;10,0000;20,0000;0,0000;100,0000;100;0;6;50,0000;
10;0;1;6;0;15,8636;10,0000;20,0000;100,0000;100,0000;100;0;6;25,0000;
--- 7 ---
1;0;0;8;0;73,3406;10,0000;30,0000;100,0000;100,0000;100;2;34;100,0000;
2;0;1;8;0;27,2321;10,0000;30,0000;100,0000;100,0000;100;0;34;100,0000;
3;0;0;8;2;52,8980;10,0000;30,0000;-1,3333;100,0000;100;4;34;50,0000;
4;0;0;8;0;43,6639;10,0000;30,0000;100,0000;100,0000;100;2;34;25,0000;
5;0;0;8;2;32,4705;10,0000;30,0000;-2,0000;100,0000;100;4;34;50,0000;
6;0;1;8;0;22,7824;10,0000;30,0000;100,0000;100,0000;100;0;34;25,0000;
7;0;0;8;0;8,4114;10,0000;30,0000;0,0000;100,0000;100;0;34;50,0000;
8;1;0;8;0;26,8148;10,0000;30,0000;100,0000;100,0000;100;2;34;25,0000;
9;0;0;8;2;15,3845;10,0000;30,0000;-3,3333;100,0000;100;22;34;50,0000;
10;0;1;8;0;4,6089;10,0000;30,0000;100,0000;100,0000;100;0;34;25,0000;
--- 8 ---
1;0;0;8;0;73,3406;10,0000;30,0000;100,0000;100,0000;100;5;11;100,0000;
2;0;1;8;0;27,2321;10,0000;30,0000;100,0000;100,0000;100;0;11;100,0000;
3;0;0;8;2;52,8980;10,0000;30,0000;-9,3333;100,0000;100;4;11;50,0000;
4;0;0;8;0;43,6639;10,0000;30,0000;100,0000;100,0000;100;5;11;25,0000;
5;0;0;8;2;32,4705;10,0000;30,0000;-10,0000;100,0000;100;4;11;50,0000;
6;0;1;8;0;22,7824;10,0000;30,0000;100,0000;100,0000;100;0;11;25,0000;
7;0;0;8;0;8,4114;10,0000;30,0000;0,0000;100,0000;100;0;11;50,0000;
8;1;0;8;0;26,8148;10,0000;30,0000;62,6667;100,0000;100;0;11;25,0000;
9;0;0;8;2;15,3845;10,0000;30,0000;-47,3333;100,0000;100;22;11;50,0000;
10;0;1;8;0;4,6089;10,0000;30,0000;100,0000;100,0000;100;0;11;25,0000;
--- 9 ---
1;0;0;8;0;73,3406;10,0000;30,0000;100,0000;100,0000;100;1;9;100,0000;
2;0;1;8;0;27,2321;10,0000;30,0000;100,0000;100,0000;100;0;9;100,0000;
3;0;0;8;2;52,8980;10,0000;30,0000;-17,3333;100,0000;100;4;9;50,0000;
4;0;0;8;0;43,6639;10,0000;30,0000;100,0000;100,0000;100;1;9;25,0000;
5;0;0;8;2;32,4705;10,0000;30,0000;-18,0000;100,0000;100;4;9;50,0000;
6;0;1;8;0;22,7824;10,0000;30,0000;100,0000;100,0000;100;0;9;25,0000;
7;0;0;8;0;8,4114;10,0000;30,0000;0,0000;100,0000;100;0;9;50,0000;
8;1;0;8;1;26,8148;10,0000;30,0000;-77,3333;100,0000;100;3;9;25,0000;
9;0;0;8;2;15,3845;10,0000;30,0000;-91,3333;100,0000;100;22;9;50,0000;
10;0;1;8;0;4,6089;10,0000;30,0000;100,0000;100,0000;100;0;9;25,0000;
--- 10 ---
1;0;0;4;0;67,2630;10,0000;40,0000;100,0000;100,0000;100;1;48;100,0000;
2;0;1;4;0;32,7991;10,0000;40,0000;100,0000;100,0000;100;0;48;100,0000;
3;0;0;4;2;46,8105;10,0000;40,0000;-50,6667;100,0000;100;29;48;50,0000;
4;1;0;4;0;37,1460;10,0000;40,0000;100,0000;100,0000;100;1;48;25,0000;
5;0;0;4;2;26,3609;10,0000;40,0000;-28,6667;100,0000;100;4;48;50,0000;
6;0;1;4;0;17,6998;10,0000;40,0000;100,0000;100,0000;100;0;48;25,0000;
7;0;0;4;0;12,5459;10,0000;40,0000;0,0000;100,0000;100;0;48;50,0000;
8;0;1;4;0;20,1111;10,0000;40,0000;100,0000;100,0000;100;0;48;25,0000;
9;0;0;4;0;8,7052;10,0000;40,0000;100,0000;100,0000;100;1;48;50,0000;
10;0;1;4;0;5,2554;10,0000;40,0000;100,0000;100,0000;100;0;48;25,0000;
--- 11 ---
1;0;0;7;0;67,2630;10,0000;40,0000;100,0000;100,0000;100;0;16;100,0000;
2;0;1;7;0;32,7991;10,0000;40,0000;100,0000;100,0000;100;0;16;100,0000;
3;0;0;7;0;46,8105;10,0000;40,0000;100,0000;100,0000;100;0;16;50,0000;
4;0;0;7;1;37,1460;10,0000;40,0000;-17,3333;100,0000;100;13;16;25,0000;
5;0;0;7;2;26,3609;10,0000;40,0000;-39,3333;100,0000;100;4;16;50,0000;
6;0;1;7;0;17,6998;10,0000;40,0000;100,0000;100,0000;100;0;16;25,0000;
7;1;0;7;0;12,5459;10,0000;40,0000;0,0000;100,0000;100;0;16;50,0000;
8;0;1;7;0;20,1111;10,0000;40,0000;100,0000;100,0000;100;0;16;25,0000;
9;0;0;7;0;8,7052;10,0000;40,0000;100,0000;100,0000;100;0;16;50,0000;
10;0;1;7;0;5,2554;10,0000;40,0000;100,0000;100,0000;100;0;16;25,0000;
--- 12 ---
1;0;0;4;0;67,2630;10,0000;40,0000;100,0000;100,0000;100;3;12;100,0000;
2;0;1;4;0;32,7991;10,0000;40,0000;100,0000;100,0000;100;0;12;100,0000;
3;0;0;4;0;46,8105;10,0000;40,0000;100,0000;100,0000;100;3;12;50,0000;
4;1;0;4;1;37,1460;10,0000;40,0000;-17,3333;100,0000;100;2;12;25,0000;
5;0;0;4;2;26,3609;10,0000;40,0000;-47,3333;100,0000;100;4;12;50,0000;
6;0;1;4;0;17,6998;10,0000;40,0000;100,0000;100,0000;100;0;12;25,0000;
7;0;0;4;1;12,5459;10,0000;40,0000;-13,3333;100,0000;100;0;12;50,0000;
8;0;1;4;0;20,1111;10,0000;40,0000;100,0000;100,0000;100;0;12;25,0000;
9;0;0;4;0;8,7052;10,0000;40,0000;100,0000;100,0000;100;3;12;50,0000;
10;0;1;4;0;5,2554;10,0000;40,0000;100,0000;100,0000;100;0;12;25,0000;
--- 13 ---
1;0;0;7;0;67,2630;10,0000;40,0000;100,0000;100,0000;100;1;20;100,0000;
2;0;1;7;0;32,7991;10,0000;40,0000;100,0000;100,0000;100;0;20;100,0000;
3;0;0;7;0;46,8105;10,0000;40,0000;100,0000;100,0000;100;1;20;50,0000;
4;0;0;7;1;37,1460;10,0000;40,0000;-58,6667;100,0000;100;2;20;25,0000;
5;0;0;7;2;26,3609;10,0000;40,0000;-60,6667;100,0000;100;4;20;50,0000;
6;0;1;7;0;17,6998;10,0000;40,0000;100,0000;100,0000;100;0;20;25,0000;
7;1;0;7;1;12,5459;10,0000;40,0000;-66,6667;100,0000;100;0;20;50,0000;
8;0;1;7;0;20,1111;10,0000;40,0000;100,0000;100,0000;100;0;20;25,0000;
9;0;0;7;0;8,7052;10,0000;40,0000;100,0000;100,0000;100;1;20;50,0000;
10;0;1;7;0;5,2554;10,0000;40,0000;100,0000;100,0000;100;0;20;25,0000;
--- 14 ---
1;0;0;4;0;69,7158;10,0000;50,0000;100,0000;100,0000;100;3;44;100,0000;
2;0;1;4;0;30,3170;10,0000;50,0000;100,0000;100,0000;100;0;44;100,0000;
3;0;0;4;0;49,2667;10,0000;50,0000;100,0000;100,0000;100;3;44;50,0000;
4;1;0;4;1;39,4540;10,0000;50,0000;-58,6667;100,0000;100;9;44;25,0000;
5;0;0;4;2;28,8250;10,0000;50,0000;-66,0000;100,0000;100;4;44;50,0000;
6;0;1;4;0;20,1830;10,0000;50,0000;100,0000;100,0000;100;0;44;25,0000;
7;0;1;4;0;10,0367;10,0000;50,0000;100,0000;100,0000;100;0;44;50,0000;
8;0;1;4;0;22,1293;10,0000;50,0000;100,0000;100,0000;100;0;44;25,0000;
9;0;0;4;0;10,9141;10,0000;50,0000;100,0000;100,0000;100;3;44;50,0000;
10;0;1;4;0;5,4906;10,0000;50,0000;100,0000;100,0000;100;0;44;25,0000;
--- 15 ---
1;0;0;5;0;69,7158;10,0000;50,0000;100,0000;100,0000;100;3;48;100,0000;
2;0;1;5;0;30,3170;10,0000;50,0000;100,0000;100,0000;100;0;48;100,0000;
3;0;0;5;0;49,2667;10,0000;50,0000;100,0000;100,0000;100;3;48;50,0000;
4;0;0;5;1;39,4540;10,0000;50,0000;-24,0000;100,0000;100;10;48;25,0000;
5;1;0;5;2;28,8250;10,0000;50,0000;-74,0000;100,0000;100;4;48;50,0000;
6;0;1;5;0;20,1830;10,0000;50,0000;100,0000;100,0000;100;0;48;25,0000;
7;0;1;5;0;10,0367;10,0000;50,0000;100,0000;100,0000;100;0;48;50,0000;
8;0;1;5;0;22,1293;10,0000;50,0000;100,0000;100,0000;100;0;48;25,0000;
9;0;0;5;0;10,9141;10,0000;50,0000;100,0000;100,0000;100;3;48;50,0000;
10;0;1;5;0;5,4906;10,0000;50,0000;100,0000;100,0000;100;0;48;25,0000;
--- 16 ---
1;0;0;5;0;69,7158;10,0000;50,0000;100,0000;100,0000;100;5;25;100,0000;
2;0;1;5;0;30,3170;10,0000;50,0000;100,0000;100,0000;100;0;25;100,0000;
3;0;0;5;0;49,2667;10,0000;50,0000;100,0000;100,0000;100;5;25;50,0000;
4;0;0;5;2;39,4540;10,0000;50,0000;-18,6667;100,0000;100;8;25;25,0000;
5;1;0;5;2;28,8250;10,0000;50,0000;-3,3333;100,0000;100;0;25;50,0000;
6;0;1;5;0;20,1830;10,0000;50,0000;100,0000;100,0000;100;0;25;25,0000;
7;0;1;5;0;10,0367;10,0000;50,0000;100,0000;100,0000;100;0;25;50,0000;
